-,TRX_ID,date,pcs,kode_barang,nama_barang,year_month,tahun_bulan
2,7093,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
3,7093,2023-08-01,5.0,214,semen holsim,2023-08,2023-08
4,7094,2023-08-01,30.0,201,semen gresik,2023-08,2023-08
5,7095,2023-08-01,83.0,304,bata ringan tbl,2023-08,2023-08
6,7096,2023-08-01,166.0,304,bata ringan tbl,2023-08,2023-08
8,7097,2023-08-01,200.0,303,bata putih,2023-08,2023-08
7,7097,2023-08-01,83.0,304,bata ringan tbl,2023-08,2023-08
9,7097,2023-08-01,5.0,218,semen padang,2023-08,2023-08
13,7098,2023-08-01,8.0,304,bata ringan tbl,2023-08,2023-08
12,7098,2023-08-01,1.0,402,besi 8,2023-08,2023-08
10,7098,2023-08-01,0.5,104,colt pasir hitam,2023-08,2023-08
11,7098,2023-08-01,1.0,201,semen gresik,2023-08,2023-08
16,7099,2023-08-01,80.0,301,bata merah,2023-08,2023-08
14,7099,2023-08-01,1.0,104,colt pasir hitam,2023-08,2023-08
15,7099,2023-08-01,3.0,201,semen gresik,2023-08,2023-08
20,7100,2023-08-01,100.0,303,bata putih,2023-08,2023-08
21,7100,2023-08-01,2.0,401,besi 6,2023-08,2023-08
22,7100,2023-08-01,8.0,402,besi 8,2023-08,2023-08
17,7100,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
19,7100,2023-08-01,1.0,204,semen acian blackbull,2023-08,2023-08
18,7100,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
23,7101,2023-08-01,40.0,201,semen gresik,2023-08,2023-08
26,7102,2023-08-01,2.0,401,besi 6,2023-08,2023-08
27,7102,2023-08-01,2.0,402,besi 8,2023-08,2023-08
24,7102,2023-08-01,0.5,104,colt pasir hitam,2023-08,2023-08
25,7102,2023-08-01,2.0,218,semen padang,2023-08,2023-08
28,7103,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
29,7103,2023-08-01,3.0,218,semen padang,2023-08,2023-08
30,7104,2023-08-01,1.0,103,colt tensla,2023-08,2023-08
32,7104,2023-08-01,20.0,409,kayu 3x5,2023-08,2023-08
31,7104,2023-08-01,6.0,520,triplek 9mm,2023-08,2023-08
33,7105,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
34,7105,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
35,7106,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
36,7106,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
37,7106,2023-08-01,6.0,518,triplek 6mm,2023-08,2023-08
38,7107,2023-08-01,1.0,103,colt tensla,2023-08,2023-08
39,7107,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
40,7108,2023-08-01,166.0,304,bata ringan tbl,2023-08,2023-08
42,7109,2023-08-01,4.0,507,asbes 300 b,2023-08,2023-08
41,7109,2023-08-01,200.0,303,bata putih,2023-08,2023-08
43,7110,2023-08-01,5.0,505,asbes 240 k,2023-08,2023-08
44,7110,2023-08-01,1.0,510,fiber 240 k,2023-08,2023-08
45,7111,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
46,7111,2023-08-01,2.0,201,semen gresik,2023-08,2023-08
49,7112,2023-08-01,41.0,304,bata ringan tbl,2023-08,2023-08
47,7112,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
50,7112,2023-08-01,1.0,208,semen br eco,2023-08,2023-08
48,7112,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
51,7113,2023-08-02,1.0,104,colt pasir hitam,2023-08,2023-08
54,7114,2023-08-02,5.0,304,bata ringan tbl,2023-08,2023-08
55,7114,2023-08-02,1.0,401,besi 6,2023-08,2023-08
52,7114,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
57,7114,2023-08-02,10.0,409,kayu 3x5,2023-08,2023-08
53,7114,2023-08-02,4.0,218,semen padang,2023-08,2023-08
56,7114,2023-08-02,4.0,516,triplek 3mm,2023-08,2023-08
58,7115,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
59,7115,2023-08-02,3.0,218,semen padang,2023-08,2023-08
60,7116,2023-08-02,166.0,304,bata ringan tbl,2023-08,2023-08
61,7117,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
62,7117,2023-08-02,1.0,214,semen holsim,2023-08,2023-08
63,7118,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
64,7118,2023-08-02,10.0,201,semen gresik,2023-08,2023-08
66,7119,2023-08-02,5.0,402,besi 8,2023-08,2023-08
65,7119,2023-08-02,20.0,201,semen gresik,2023-08,2023-08
67,7120,2023-08-02,1.0,103,colt tensla,2023-08,2023-08
68,7120,2023-08-02,15.0,201,semen gresik,2023-08,2023-08
69,7121,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
70,7121,2023-08-02,2.0,214,semen holsim,2023-08,2023-08
72,7122,2023-08-02,5.0,402,besi 8,2023-08,2023-08
73,7122,2023-08-02,14.0,407,kanal c,2023-08,2023-08
77,7122,2023-08-02,15.0,409,kayu 3x5,2023-08,2023-08
76,7122,2023-08-02,1.0,204,semen acian blackbull,2023-08,2023-08
71,7122,2023-08-02,10.0,218,semen padang,2023-08,2023-08
74,7122,2023-08-02,5.0,517,triplek 4mm,2023-08,2023-08
75,7122,2023-08-02,5.0,518,triplek 6mm,2023-08,2023-08
78,7123,2023-08-02,1000.0,302,bata merah press mrh,2023-08,2023-08
80,7124,2023-08-02,50.0,304,bata ringan tbl,2023-08,2023-08
79,7124,2023-08-02,20.0,307,umpak gandeng,2023-08,2023-08
81,7125,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
82,7125,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
83,7126,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
84,7126,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
85,7127,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
87,7128,2023-08-02,10.0,514,kalsiboard,2023-08,2023-08
88,7128,2023-08-02,1.0,204,semen acian blackbull,2023-08,2023-08
86,7128,2023-08-02,30.0,307,umpak gandeng,2023-08,2023-08
89,7129,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
90,7129,2023-08-02,5.0,201,semen gresik,2023-08,2023-08
91,7130,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
92,7130,2023-08-02,1.0,201,semen gresik,2023-08,2023-08
93,7131,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
94,7132,2023-08-02,166.0,304,bata ringan tbl,2023-08,2023-08
95,7132,2023-08-02,3.0,403,besi 10,2023-08,2023-08
98,7133,2023-08-02,40.0,303,bata putih,2023-08,2023-08
99,7133,2023-08-02,41.0,304,bata ringan tbl,2023-08,2023-08
96,7133,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
97,7133,2023-08-02,2.0,201,semen gresik,2023-08,2023-08
100,7134,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
102,7134,2023-08-02,2.0,204,semen acian blackbull,2023-08,2023-08
101,7134,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
103,7135,2023-08-02,166.0,304,bata ringan tbl,2023-08,2023-08
104,7135,2023-08-02,2.0,210,semen br mu,2023-08,2023-08
105,7136,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
106,7137,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
107,7137,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
108,7138,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
109,7138,2023-08-03,5.0,201,semen gresik,2023-08,2023-08
110,7138,2023-08-03,5.0,214,semen holsim,2023-08,2023-08
111,7139,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
114,7140,2023-08-03,40.0,304,bata ringan tbl,2023-08,2023-08
112,7140,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
113,7140,2023-08-03,4.0,201,semen gresik,2023-08,2023-08
115,7141,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
116,7142,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
117,7143,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
118,7143,2023-08-03,0.5,103,colt tensla,2023-08,2023-08
119,7143,2023-08-03,2.0,201,semen gresik,2023-08,2023-08
120,7144,2023-08-03,30.0,201,semen gresik,2023-08,2023-08
121,7145,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
122,7145,2023-08-03,1.0,214,semen holsim,2023-08,2023-08
123,7147,2023-08-03,7.0,304,bata ringan tbl,2023-08,2023-08
125,7147,2023-08-03,20.0,405,hollow 2x4,2023-08,2023-08
126,7147,2023-08-03,5.0,514,kalsiboard,2023-08,2023-08
127,7147,2023-08-03,30.0,409,kayu 3x5,2023-08,2023-08
124,7147,2023-08-03,1.0,201,semen gresik,2023-08,2023-08
128,7148,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
129,7148,2023-08-03,3.0,214,semen holsim,2023-08,2023-08
131,7149,2023-08-03,2.0,504,asbes 210 k,2023-08,2023-08
132,7149,2023-08-03,10.0,402,besi 8,2023-08,2023-08
130,7149,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
133,7150,2023-08-03,100.0,303,bata putih,2023-08,2023-08
134,7150,2023-08-03,5.0,201,semen gresik,2023-08,2023-08
137,7151,2023-08-03,8.0,304,bata ringan tbl,2023-08,2023-08
135,7151,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
136,7151,2023-08-03,1.0,201,semen gresik,2023-08,2023-08
138,7152,2023-08-03,1.0,103,colt tensla,2023-08,2023-08
139,7152,2023-08-03,10.0,201,semen gresik,2023-08,2023-08
140,7153,2023-08-03,1000.0,301,bata merah,2023-08,2023-08
141,7153,2023-08-03,5.0,201,semen gresik,2023-08,2023-08
142,7154,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
143,7154,2023-08-03,3.0,214,semen holsim,2023-08,2023-08
144,7155,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
145,7155,2023-08-03,1.0,201,semen gresik,2023-08,2023-08
146,7156,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
147,7156,2023-08-03,10.0,201,semen gresik,2023-08,2023-08
148,7157,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
149,7158,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
150,7158,2023-08-04,3.0,201,semen gresik,2023-08,2023-08
151,7158,2023-08-04,1.0,214,semen holsim,2023-08,2023-08
152,7159,2023-08-04,0.5,104,colt pasir hitam,2023-08,2023-08
153,7159,2023-08-04,2.0,201,semen gresik,2023-08,2023-08
154,7160,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
155,7160,2023-08-04,2.0,214,semen holsim,2023-08,2023-08
156,7161,2023-08-04,0.5,104,colt pasir hitam,2023-08,2023-08
157,7161,2023-08-04,40.0,201,semen gresik,2023-08,2023-08
159,7162,2023-08-04,5.0,206,semen acian tr,2023-08,2023-08
162,7162,2023-08-04,2.0,206,semen acian tr,2023-08,2023-08
158,7162,2023-08-04,10.0,201,semen gresik,2023-08,2023-08
161,7162,2023-08-04,12.0,201,semen gresik,2023-08,2023-08
160,7162,2023-08-04,10.0,218,semen padang,2023-08,2023-08
163,7163,2023-08-04,2.0,602,sumur 70,2023-08,2023-08
166,7164,2023-08-04,50.0,303,bata putih,2023-08,2023-08
164,7164,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
165,7164,2023-08-04,3.0,201,semen gresik,2023-08,2023-08
167,7165,2023-08-04,35.0,507,asbes 300 b,2023-08,2023-08
168,7166,2023-08-04,0.5,101,colt pasir,2023-08,2023-08
169,7166,2023-08-04,2.0,201,semen gresik,2023-08,2023-08
170,7166,2023-08-04,15.0,218,semen padang,2023-08,2023-08
171,7167,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
172,7168,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
173,7169,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
174,7170,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
175,7170,2023-08-04,1.0,201,semen gresik,2023-08,2023-08
176,7171,2023-08-04,0.5,104,colt pasir hitam,2023-08,2023-08
177,7171,2023-08-04,1.0,201,semen gresik,2023-08,2023-08
180,7172,2023-08-04,60.0,304,bata ringan tbl,2023-08,2023-08
178,7172,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
181,7172,2023-08-04,1.0,208,semen br eco,2023-08,2023-08
179,7172,2023-08-04,3.0,214,semen holsim,2023-08,2023-08
187,7173,2023-08-04,1.0,403,besi 10,2023-08,2023-08
186,7173,2023-08-04,1.0,402,besi 8,2023-08,2023-08
183,7173,2023-08-04,12.0,522,gipsum,2023-08,2023-08
188,7173,2023-08-04,20.0,405,hollow 2x4,2023-08,2023-08
185,7173,2023-08-04,1.0,213,semen cornis aplus,2023-08,2023-08
182,7173,2023-08-04,10.0,201,semen gresik,2023-08,2023-08
184,7173,2023-08-04,12.0,424,wall angle,2023-08,2023-08
189,7174,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
190,7174,2023-08-04,10.0,201,semen gresik,2023-08,2023-08
193,7175,2023-08-04,60.0,303,bata putih,2023-08,2023-08
191,7175,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
192,7175,2023-08-04,3.0,218,semen padang,2023-08,2023-08
195,7176,2023-08-04,20.0,301,bata merah,2023-08,2023-08
194,7176,2023-08-04,0.5,101,colt pasir,2023-08,2023-08
196,7177,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
197,7178,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
198,7178,2023-08-05,10.0,201,semen gresik,2023-08,2023-08
199,7179,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
202,7179,2023-08-05,1.0,204,semen acian blackbull,2023-08,2023-08
201,7179,2023-08-05,4.0,208,semen br eco,2023-08,2023-08
200,7179,2023-08-05,5.0,214,semen holsim,2023-08,2023-08
203,7180,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
206,7181,2023-08-05,300.0,301,bata merah,2023-08,2023-08
204,7181,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
205,7181,2023-08-05,1.0,201,semen gresik,2023-08,2023-08
207,7182,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
208,7182,2023-08-05,3.0,201,semen gresik,2023-08,2023-08
210,7183,2023-08-05,0.5,101,colt pasir,2023-08,2023-08
209,7183,2023-08-05,0.5,104,colt pasir hitam,2023-08,2023-08
211,7183,2023-08-05,1.0,201,semen gresik,2023-08,2023-08
212,7184,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
213,7184,2023-08-05,3.0,201,semen gresik,2023-08,2023-08
214,7185,2023-08-05,30.0,201,semen gresik,2023-08,2023-08
215,7186,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
216,7186,2023-08-05,2.0,201,semen gresik,2023-08,2023-08
217,7187,2023-08-05,83.0,304,bata ringan tbl,2023-08,2023-08
219,7187,2023-08-05,6.0,403,besi 10,2023-08,2023-08
218,7187,2023-08-05,10.0,218,semen padang,2023-08,2023-08
220,7188,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
221,7188,2023-08-05,10.0,218,semen padang,2023-08,2023-08
222,7189,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
223,7189,2023-08-05,4.0,201,semen gresik,2023-08,2023-08
226,7190,2023-08-05,83.0,304,bata ringan tbl,2023-08,2023-08
224,7190,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
225,7190,2023-08-05,3.0,214,semen holsim,2023-08,2023-08
227,7191,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
228,7191,2023-08-05,3.0,201,semen gresik,2023-08,2023-08
231,7192,2023-08-05,0.5,101,colt pasir,2023-08,2023-08
229,7192,2023-08-05,0.5,103,colt tensla,2023-08,2023-08
230,7192,2023-08-05,1.0,208,semen br eco,2023-08,2023-08
232,7192,2023-08-05,2.0,201,semen gresik,2023-08,2023-08
233,7192,2023-08-05,3.0,201,semen gresik,2023-08,2023-08
234,7193,2023-08-05,1.0,104,colt pasir hitam,2023-08,2023-08
235,7193,2023-08-05,10.0,201,semen gresik,2023-08,2023-08
240,7194,2023-08-05,10.0,403,besi 10,2023-08,2023-08
239,7194,2023-08-05,10.0,402,besi 8,2023-08,2023-08
236,7194,2023-08-05,1.0,104,colt pasir hitam,2023-08,2023-08
237,7194,2023-08-05,6.0,410,kayu 4x6,2023-08,2023-08
238,7194,2023-08-05,3.0,520,triplek 9mm,2023-08,2023-08
241,7195,2023-08-05,0.5,101,colt pasir,2023-08,2023-08
242,7195,2023-08-05,1.0,214,semen holsim,2023-08,2023-08
243,7196,2023-08-05,50.0,306,umpak,2023-08,2023-08
244,7197,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
246,7197,2023-08-05,1.0,207,semen br aplus,2023-08,2023-08
245,7197,2023-08-05,10.0,201,semen gresik,2023-08,2023-08
248,7198,2023-08-05,500.0,301,bata merah,2023-08,2023-08
247,7198,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
250,7199,2023-08-05,1.0,104,colt pasir hitam,2023-08,2023-08
251,7199,2023-08-05,4.0,201,semen gresik,2023-08,2023-08
249,7199,2023-08-05,60.0,306,umpak,2023-08,2023-08
252,7200,2023-08-05,83.0,304,bata ringan tbl,2023-08,2023-08
256,7200,2023-08-05,2.0,204,semen acian blackbull,2023-08,2023-08
253,7200,2023-08-05,1.0,208,semen br eco,2023-08,2023-08
255,7200,2023-08-05,10.0,208,semen br eco,2023-08,2023-08
254,7200,2023-08-05,2.0,201,semen gresik,2023-08,2023-08
257,7201,2023-08-05,166.0,304,bata ringan tbl,2023-08,2023-08
258,7202,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
259,7202,2023-08-05,10.0,201,semen gresik,2023-08,2023-08
262,7203,2023-08-05,300.0,301,bata merah,2023-08,2023-08
260,7203,2023-08-05,0.5,103,colt tensla,2023-08,2023-08
261,7203,2023-08-05,7.0,201,semen gresik,2023-08,2023-08
265,7204,2023-08-05,20.0,303,bata putih,2023-08,2023-08
263,7204,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
264,7204,2023-08-05,1.0,218,semen padang,2023-08,2023-08
269,7205,2023-08-05,200.0,301,bata merah,2023-08,2023-08
268,7205,2023-08-05,50.0,303,bata putih,2023-08,2023-08
266,7205,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
267,7205,2023-08-05,3.0,201,semen gresik,2023-08,2023-08
272,7206,2023-08-05,100.0,301,bata merah,2023-08,2023-08
270,7206,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
271,7206,2023-08-05,3.0,201,semen gresik,2023-08,2023-08
273,7207,2023-08-05,1.0,103,colt tensla,2023-08,2023-08
274,7207,2023-08-05,10.0,201,semen gresik,2023-08,2023-08
275,7208,2023-08-05,0.5,101,colt pasir,2023-08,2023-08
276,7208,2023-08-05,1.0,201,semen gresik,2023-08,2023-08
277,7209,2023-08-05,1.0,101,colt pasir,2023-08,2023-08
278,7209,2023-08-05,3.0,214,semen holsim,2023-08,2023-08
280,7210,2023-08-06,10.0,403,besi 10,2023-08,2023-08
279,7210,2023-08-06,37.0,201,semen gresik,2023-08,2023-08
281,7211,2023-08-06,1.0,103,colt tensla,2023-08,2023-08
282,7211,2023-08-06,15.0,218,semen padang,2023-08,2023-08
283,7212,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
284,7212,2023-08-06,10.0,306,umpak,2023-08,2023-08
285,7213,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
286,7214,2023-08-06,166.0,304,bata ringan tbl,2023-08,2023-08
289,7215,2023-08-06,5.0,401,besi 6,2023-08,2023-08
290,7215,2023-08-06,17.0,402,besi 8,2023-08,2023-08
287,7215,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
288,7215,2023-08-06,5.0,201,semen gresik,2023-08,2023-08
291,7216,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
292,7216,2023-08-06,2.0,218,semen padang,2023-08,2023-08
293,7216,2023-08-06,10.0,218,semen padang,2023-08,2023-08
294,7217,2023-08-06,0.5,101,colt pasir,2023-08,2023-08
295,7217,2023-08-06,1.0,413,kayu 6x12,2023-08,2023-08
297,7218,2023-08-06,10.0,304,bata ringan tbl,2023-08,2023-08
298,7218,2023-08-06,4.0,204,semen acian blackbull,2023-08,2023-08
299,7218,2023-08-06,4.0,206,semen acian tr,2023-08,2023-08
296,7218,2023-08-06,7.0,218,semen padang,2023-08,2023-08
302,7219,2023-08-06,20.0,303,bata putih,2023-08,2023-08
300,7219,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
301,7219,2023-08-06,2.0,201,semen gresik,2023-08,2023-08
303,7220,2023-08-06,1.0,103,colt tensla,2023-08,2023-08
304,7221,2023-08-06,1.0,103,colt tensla,2023-08,2023-08
305,7222,2023-08-06,0.5,101,colt pasir,2023-08,2023-08
306,7223,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
307,7223,2023-08-06,5.0,201,semen gresik,2023-08,2023-08
311,7224,2023-08-06,100.0,301,bata merah,2023-08,2023-08
310,7224,2023-08-06,1.0,201,semen gresik,2023-08,2023-08
308,7224,2023-08-06,0.5,804,tosa tensla,2023-08,2023-08
309,7224,2023-08-06,0.5,804,tosa tensla,2023-08,2023-08
312,7225,2023-08-06,83.0,304,bata ringan tbl,2023-08,2023-08
314,7225,2023-08-06,3.0,208,semen br eco,2023-08,2023-08
313,7225,2023-08-06,20.0,214,semen holsim,2023-08,2023-08
315,7226,2023-08-06,500.0,301,bata merah,2023-08,2023-08
316,7227,2023-08-06,250.0,303,bata putih,2023-08,2023-08
318,7227,2023-08-06,10.0,201,semen gresik,2023-08,2023-08
317,7227,2023-08-06,2.0,218,semen padang,2023-08,2023-08
321,7228,2023-08-06,25.0,301,bata merah,2023-08,2023-08
319,7228,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
320,7228,2023-08-06,3.0,201,semen gresik,2023-08,2023-08
323,7229,2023-08-06,20.0,305,bata ringan tps,2023-08,2023-08
322,7229,2023-08-06,0.5,101,colt pasir,2023-08,2023-08
324,7230,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
325,7231,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
327,7231,2023-08-06,1.0,208,semen br eco,2023-08,2023-08
326,7231,2023-08-06,5.0,201,semen gresik,2023-08,2023-08
328,7232,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
329,7233,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
330,7234,2023-08-06,250.0,303,bata putih,2023-08,2023-08
331,7235,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
332,7235,2023-08-06,2.0,201,semen gresik,2023-08,2023-08
334,7236,2023-08-06,30.0,303,bata putih,2023-08,2023-08
333,7236,2023-08-06,5.0,514,kalsiboard,2023-08,2023-08
335,7236,2023-08-06,1.0,218,semen padang,2023-08,2023-08
336,7237,2023-08-06,1.0,101,colt pasir,2023-08,2023-08
337,7238,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
338,7238,2023-08-07,3.0,514,kalsiboard,2023-08,2023-08
339,7239,2023-08-07,1.0,103,colt tensla,2023-08,2023-08
340,7239,2023-08-07,10.0,201,semen gresik,2023-08,2023-08
343,7240,2023-08-07,20.0,303,bata putih,2023-08,2023-08
341,7240,2023-08-07,0.5,101,colt pasir,2023-08,2023-08
342,7240,2023-08-07,1.0,201,semen gresik,2023-08,2023-08
346,7241,2023-08-07,3.0,402,besi 8,2023-08,2023-08
345,7241,2023-08-07,10.0,219,kalsium,2023-08,2023-08
344,7241,2023-08-07,25.0,218,semen padang,2023-08,2023-08
347,7242,2023-08-07,166.0,304,bata ringan tbl,2023-08,2023-08
348,7242,2023-08-07,2.0,520,triplek 9mm,2023-08,2023-08
349,7243,2023-08-07,166.0,304,bata ringan tbl,2023-08,2023-08
353,7244,2023-08-07,7.0,304,bata ringan tbl,2023-08,2023-08
350,7244,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
352,7244,2023-08-07,1.0,208,semen br eco,2023-08,2023-08
351,7244,2023-08-07,2.0,218,semen padang,2023-08,2023-08
354,7244,2023-08-07,6.0,306,umpak,2023-08,2023-08
355,7245,2023-08-07,83.0,304,bata ringan tbl,2023-08,2023-08
357,7245,2023-08-07,6.0,403,besi 10,2023-08,2023-08
356,7245,2023-08-07,10.0,401,besi 6,2023-08,2023-08
358,7246,2023-08-07,0.5,101,colt pasir,2023-08,2023-08
359,7246,2023-08-07,2.0,208,semen br eco,2023-08,2023-08
360,7247,2023-08-07,22.0,506,asbes 250 b,2023-08,2023-08
362,7247,2023-08-07,100.0,301,bata merah,2023-08,2023-08
361,7247,2023-08-07,25.0,304,bata ringan tbl,2023-08,2023-08
363,7248,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
364,7248,2023-08-07,2.0,201,semen gresik,2023-08,2023-08
365,7248,2023-08-07,10.0,201,semen gresik,2023-08,2023-08
366,7249,2023-08-07,0.5,101,colt pasir,2023-08,2023-08
367,7249,2023-08-07,0.5,103,colt tensla,2023-08,2023-08
368,7249,2023-08-07,7.0,201,semen gresik,2023-08,2023-08
372,7250,2023-08-07,6.0,507,asbes 300 b,2023-08,2023-08
371,7250,2023-08-07,50.0,301,bata merah,2023-08,2023-08
369,7250,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
373,7250,2023-08-07,4.0,409,kayu 3x5,2023-08,2023-08
370,7250,2023-08-07,2.0,201,semen gresik,2023-08,2023-08
374,7251,2023-08-07,10.0,201,semen gresik,2023-08,2023-08
375,7251,2023-08-07,30.0,218,semen padang,2023-08,2023-08
376,7252,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
377,7252,2023-08-07,2.0,201,semen gresik,2023-08,2023-08
380,7253,2023-08-07,2.0,402,besi 8,2023-08,2023-08
378,7253,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
379,7253,2023-08-07,2.0,201,semen gresik,2023-08,2023-08
381,7254,2023-08-07,0.5,103,colt tensla,2023-08,2023-08
382,7254,2023-08-07,10.0,214,semen holsim,2023-08,2023-08
383,7255,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
384,7256,2023-08-07,40.0,201,semen gresik,2023-08,2023-08
385,7257,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
386,7258,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
387,7259,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
388,7260,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
389,7260,2023-08-07,2.0,214,semen holsim,2023-08,2023-08
390,7261,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
391,7262,2023-08-07,166.0,304,bata ringan tbl,2023-08,2023-08
392,7262,2023-08-07,2.0,208,semen br eco,2023-08,2023-08
393,7263,2023-08-07,1.0,102,colt sertu,2023-08,2023-08
394,7264,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
395,7264,2023-08-07,2.0,201,semen gresik,2023-08,2023-08
396,7265,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
397,7266,2023-08-07,1.0,101,colt pasir,2023-08,2023-08
399,7267,2023-08-08,41.0,304,bata ringan tbl,2023-08,2023-08
398,7267,2023-08-08,1.0,102,colt sertu,2023-08,2023-08
401,7267,2023-08-08,1.0,204,semen acian blackbull,2023-08,2023-08
400,7267,2023-08-08,1.0,208,semen br eco,2023-08,2023-08
402,7267,2023-08-08,1.0,213,semen cornis aplus,2023-08,2023-08
403,7268,2023-08-08,1.0,101,colt pasir,2023-08,2023-08
404,7268,2023-08-08,3.0,201,semen gresik,2023-08,2023-08
405,7269,2023-08-08,20.0,201,semen gresik,2023-08,2023-08
406,7270,2023-08-08,15.0,201,semen gresik,2023-08,2023-08
407,7271,2023-08-08,166.0,304,bata ringan tbl,2023-08,2023-08
